campaign,run,date,model,recipe,seed,fold,epochs,split,n,CD,CV,HEX,mean,ci_low,ci_high,reference,status,verdict,path
audit_20260911,selection_fix,2026-09-11,small,e543e081f70c,42,,/10,val892,892,12.503426062674643,13.16742908954002,11.85561689988129,12.508824017365319,,,,done,Cellpose 'cyto' outputs correlate 0.2 to 0.3 with GT CD; ridge (14.8) and the constant (14.2) beat it; superseded by direct regression [do not rerun],results/audit_20260911/selection_fix
cnn_20260913,c1/density0,2026-09-13,timm:convnextv2_tiny.fcmae_ft_in22k_in1k,7709ad05fca9,123,0,8/8,fold-0/5,1802,11.34432746217589,10.087426006996285,9.865111722127368,10.432288397099848,,,,done,,results/cnn_20260913/c1/density0
cnn_20260913,c1/density20,2026-09-14,timm:convnextv2_tiny.fcmae_ft_in22k_in1k,7709ad05fca9,123,0,8/8,fold-0/5,1802,14.595390739592439,11.60981731768458,10.85387448834013,12.353027515205717,,,,done,,results/cnn_20260913/c1/density20
cnn_20260913,c1/trim0,2026-09-13,timm:convnextv2_tiny.fcmae_ft_in22k_in1k,a9e7ff45e966,123,0,8/8,fold-0/5,1802,6.657256412208572,10.045095516381656,9.90508532571309,8.869145751434438,,,,done,,results/cnn_20260913/c1/trim0
cnn_20260913,c1/trim1,2026-09-13,timm:convnextv2_tiny.fcmae_ft_in22k_in1k,a9e7ff45e966,123,1,8/8,fold-1/5,1783,6.13756845117792,10.097186581079505,9.710205793180291,8.648320275145906,,,,done,,results/cnn_20260913/c1/trim1
cnn_20260913,Phase I slot 2 candidate v2ens_plus (17 members),2026-09-13,"v2ens + 2 all-data V2-Tiny refits (w2) + 5 V2-Base folds (w3), geometric mean, flip TTA",,,,,oof9000,9000,,,,8.814,,,,"built, not uploaded",Fold-only OOF (refits unvalidatable). Replay max rel diff 2.7e-7; 31 s/case on a shared A5000 (limit 5 min/case). Recommended for slot 2. See results/cnn_20260913/c0_slot2/REPORT.md section 5.,/home/visilant/CLEAR-EC-phase1-v2ens/results/phase1_v2ens_plus
cnn_20260913,c0_slot2 (v2ens_refit12 container),2026-09-13,"v2ens (5x ConvNeXt-V2-Tiny w=2 + 5x ConvNeXt-Tiny w=1) + 2x all-data ConvNeXt-V2-Tiny refits (seeds 123/7, w=2), geometric mean, flip TTA",,,,,oof9000,9000,6.3,10.2515,9.9652,8.8389,,,,"built, not uploaded","Score is the fold-only part (= v2ens); the refits saw every label and cannot be validated. Weight search: V2-Base w=3 would give OOF 8.814 (delta -0.025, CI -0.036 to -0.012) but costs 17.8 s/image on the A5000, so excluded. Image clear_ec_phase1:v2ens_refit12; 50-case replay max rel diff 3.3e-7; 15.2 s/case on a shared GPU 0. See results/cnn_20260913/c0_slot2/REPORT.md.",/home/visilant/CLEAR-EC-phase1-v2ens/results/phase1_v2ens_refit12
convnext_20260911,fixed_patches,2026-09-12,convnext_tiny,b6c95c2398a4,123,,/12,val892,892,6.680402923550111,11.987144720758169,10.201829674966465,9.623125773091582,,,,done,all within 0.05 of the baseline on 892 val (half the data costs 0.05 to 0.09) [do not rerun],results/convnext_20260911/fixed_patches
convnext_20260911,highres_relative,2026-09-12,convnext_tiny,f6c7d8a0b7f8,123,,/12,val892,892,6.49966165905836,11.944581270152632,10.122358097102254,9.522200342104416,,,,done,all within 0.05 of the baseline on 892 val (half the data costs 0.05 to 0.09) [do not rerun],results/convnext_20260911/highres_relative
convnext_20260911,lowres_relative,2026-09-12,convnext_tiny,8caa2cd2d503,123,,/12,val892,892,6.688160826394599,12.2269730390201,10.308861309473786,9.741331724962828,,,,done,all within 0.05 of the baseline on 892 val (half the data costs 0.05 to 0.09) [do not rerun],results/convnext_20260911/lowres_relative
